Date,Time,Weekday,Temperature,Condition,Humidity,Wind_Speed,Holiday,Event,Rainfall,Solar_Generation,low_price,high_price,Average_Price_Rs_Per_Sqft,QoQ_Price_Change_Percent,Load,BRPL,BYPL,NDPL,NDMC,MES
01-01-2010,00:00-01:00,Friday,9,Fog,95,2,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,01:00-02:00,Friday,9,Fog,95,2,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,02:00-03:00,Friday,9,Fog,95,2,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,03:00-04:00,Friday,8,Fog,95,2,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,04:00-05:00,Friday,8,Fog,95,2,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,05:00-06:00,Friday,8,Fog,95,2,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,06:00-07:00,Friday,9,Fog,95,0,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,07:00-08:00,Friday,9,Fog,95,0,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,08:00-09:00,Friday,9,Fog,95,0,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,09:00-10:00,Friday,18,Smoke,64,4,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,10:00-11:00,Friday,18,Smoke,64,4,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,11:00-12:00,Friday,18,Smoke,64,4,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,12:00-13:00,Friday,21,Smoke,54,4,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,13:00-14:00,Friday,21,Smoke,54,4,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,14:00-15:00,Friday,21,Smoke,54,4,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,15:00-16:00,Friday,19,Smoke,64,0,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,16:00-17:00,Friday,19,Smoke,64,0,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,17:00-18:00,Friday,19,Smoke,64,0,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,18:00-19:00,Friday,13,Fog,96,0,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,19:00-20:00,Friday,13,Fog,96,0,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
01-01-2010,20:00-21:00,Friday,13,Fog,96,0,0,New Year's Day,0.00577957,0,2455,69885,12227.35955,1.547136051,0,0,0,0,0,0
