Date,low_price,high_price,Average_Price_Rs_Per_Sqft,QoQ_Price_Change_Percent,Average_Price,QoQ_Price
01-01-2010,2455,69885,12227.35955,1.547136051,36170,1.547136051
01-04-2010,1896,78849,11788.22727,6.923611577,40372.5,11.61874482
01-07-2010,2897,70767,11719.17708,3.103058377,36832,-8.769583256
01-10-2010,3048,74251,11949.34091,9.105221189,38649.5,4.934567767
01-01-2011,1897,80036,13883.98958,15.76126999,40966.5,5.994902909
01-04-2011,3137,81160,14627.75824,10.12136387,42148.5,2.885284318
01-07-2011,3268,44767,14284.40244,12.60877163,24017.5,-43.01695197
01-10-2011,3184,143960,18052.87097,15.85100407,73572,206.3266368
01-01-2012,2491,152311,18646.25316,-0.250461558,77401,5.204425597
01-04-2012,2780,202731,18533.03191,2.212981766,102755.5,32.75732872
01-07-2012,2735,313256,20046.43902,17.82400372,157995.5,53.75867958
01-10-2012,2910,316204,19023.37895,-1.211547619,159557,0.988319288
01-01-2013,3191,122938,17742.82474,2.697108923,63064.5,-60.47525336
01-04-2013,3352,256077,18639.99057,19.54024994,129714.5,105.685449
01-07-2013,3099,245068,18677.81373,4.158134087,124083.5,-4.341072124
01-10-2013,3252,232193,18224.2037,-1.978310235,117722.5,-5.126386667
01-01-2014,3486,134635,16974.8381,0.529817803,69060.5,-41.33619317
01-04-2014,3036,207840,18524.56303,1.357748173,105438,52.67482859
01-07-2014,2696,232602,18523.94017,1.463687139,117649,11.5812136
01-10-2014,2869,130724,16135.96269,-3.307394903,66796.5,-43.22391181
01-01-2015,3091,148407,16294.48649,9.104547799,75749,13.40264834
01-04-2015,2988,118705,15661.4908,0.126524596,60846.5,-19.67352704
01-07-2015,2807,122025,14992.13793,-2.298859556,62416,2.57944171
01-10-2015,2173,465770,16576.02174,-1.2353645,233971.5,274.8582094
01-01-2016,2064,460451,16411.82703,0.23430117,231257.5,-1.159970338
01-04-2016,2911,140425,15360.29444,3.979113573,71668,-69.00943753
01-07-2016,2909,151098,14222.40659,0.483026667,77003.5,7.444745214
01-10-2016,2833,153790,14059.8314,-0.54897256,78311.5,1.698624089
01-01-2017,2936,182716,13929.49405,0.29073822,92826,18.53431488
01-04-2017,2513,174275,13566.65556,-2.901311385,88394,-4.774524379
01-07-2017,2688,178383,13344.70455,0.733658397,90535.5,2.422675747
01-10-2017,2771,153554,13415.63842,4.532379911,78162.5,-13.66646233
01-01-2018,2747,200374,14104.36994,4.956146211,101560.5,29.93507117
01-04-2018,2744,432144,16036.88701,1.450463286,217444,114.1029239
01-07-2018,2706,485127,16919.87363,13.32978574,243916.5,12.17439893
01-10-2018,2649,500105,17097.64912,2.027104475,251377,3.05862867
01-01-2019,2750,464739,17793.00543,2.375394826,233744.5,-7.014364878
01-04-2019,2785,481144,17176.91061,1.964709609,241964.5,3.516660285
01-07-2019,2872,474497,18128.94595,4.629855823,238684.5,-1.355570755
01-10-2019,2792,472763,17404.47849,2.119978234,237777.5,-0.379999539
01-01-2020,2874,471840,17958.01087,0.713634493,237357,-0.176846001
01-04-2020,2862,448663,17150.91061,-0.940495594,225762.5,-4.884835922
01-07-2020,2858,445742,16641.76923,-1.748950641,224300,-0.647804662
01-10-2020,2833,468065,17077.68539,3.125445815,235449,4.970575123
01-01-2021,2909,458063,16200.29474,3.554767652,230486,-2.107887483
01-04-2021,2761,477246,17452.6,1.258128751,240003.5,4.12931805
01-07-2021,2986,480778,17425.02083,2.638107947,241882,0.782696919
01-10-2021,2929,489000,17733.89899,2.362062329,245964.5,1.687806451
01-01-2022,2898,483536,17635.41089,1.588284457,243217,-1.117031116
01-04-2022,3156,493957,18041.12376,3.217580462,248556.5,2.195364633
01-07-2022,2863,495214,18691.23881,1.768808597,249038.5,0.193919692
01-10-2022,2843,489011,18905.25616,2.174713811,245927,-1.249405212
01-01-2023,2670,500238,19465.355,1.880839163,251454,2.247414883
01-04-2023,2589,489051,19513.82673,0.683946164,245820,-2.240568852
01-07-2023,2930,485613,19750.48529,3.474416092,244271.5,-0.629932471
01-10-2023,3007,500096,20575.81731,4.423783988,251551.5,2.980290374
01-01-2024,2896,512189,22164.34746,4.228950659,257542.5,2.381619668
01-04-2024,3032,683472,24031.61832,3.313242398,343252,33.27974994
01-07-2024,3084,530581,,,266832.5,-22.26338084
01-10-2024,2921,526241,,,264581,-0.843787769
